DATE, EX_NUM, BOOL_PREPROC, NOISE, method_name, error_norm 
05-Oct-2017 13:59:30,3,1,1e-12,Batch Constrained With STLN,7.0311e-11 
05-Oct-2017 13:59:45,4,1,1e-12,Separate,2.6986e-11 
05-Oct-2017 13:59:45,4,1,1e-12,Batch,2.1509e-12 
05-Oct-2017 13:59:45,4,1,1e-12,Batch With STLN,2.194e-12 
05-Oct-2017 13:59:45,4,1,1e-12,Batch Constrained,1.4667e-12 
05-Oct-2017 13:59:45,4,1,1e-12,Batch Constrained With STLN,7.2584e-13 
05-Oct-2017 13:59:53,5,1,1e-12,Separate,4.5419e-11 
05-Oct-2017 13:59:53,5,1,1e-12,Batch,3.4914e-12 
05-Oct-2017 13:59:53,5,1,1e-12,Batch With STLN,3.4799e-12 
05-Oct-2017 13:59:53,5,1,1e-12,Batch Constrained,2.0584e-12 
05-Oct-2017 13:59:53,5,1,1e-12,Batch Constrained With STLN,5.8114e-12 
05-Oct-2017 14:00:06,6,1,1e-12,Separate,4.5419e-11 
05-Oct-2017 14:00:06,6,1,1e-12,Batch,3.4914e-12 
05-Oct-2017 14:00:06,6,1,1e-12,Batch With STLN,3.4799e-12 
05-Oct-2017 14:00:06,6,1,1e-12,Batch Constrained,2.0584e-12 
05-Oct-2017 14:00:06,6,1,1e-12,Batch Constrained With STLN,5.8114e-12 
05-Oct-2017 14:00:30,8,1,1e-12,Separate,3.9797e-09 
05-Oct-2017 14:00:30,8,1,1e-12,Batch,4.5071e-10 
05-Oct-2017 14:00:30,8,1,1e-12,Batch With STLN,5.0819e-10 
05-Oct-2017 14:00:30,8,1,1e-12,Batch Constrained,4.0351e-10 
05-Oct-2017 14:00:30,8,1,1e-12,Batch Constrained With STLN,3.8432e-10 
05-Oct-2017 14:00:53,9,1,1e-12,Separate,2.2813e-08 
05-Oct-2017 14:00:53,9,1,1e-12,Batch,8.0311e-12 
05-Oct-2017 14:00:53,9,1,1e-12,Batch With STLN,9.6524e-12 
05-Oct-2017 14:00:53,9,1,1e-12,Batch Constrained,4.3315e-12 
05-Oct-2017 14:00:53,9,1,1e-12,Batch Constrained With STLN,3.4704e-11 
05-Oct-2017 14:01:07,10,1,1e-12,Separate,1.5174e-07 
05-Oct-2017 14:01:07,10,1,1e-12,Batch,1.4499e-11 
05-Oct-2017 14:01:07,10,1,1e-12,Batch With STLN,1.6701e-11 
05-Oct-2017 14:01:07,10,1,1e-12,Batch Constrained,3.8724e-12 
05-Oct-2017 14:01:07,10,1,1e-12,Batch Constrained With STLN,7.0344e-12 
05-Oct-2017 14:01:30,11,1,1e-12,Separate,1.0534e-07 
05-Oct-2017 14:01:30,11,1,1e-12,Batch,1.8349e-11 
05-Oct-2017 14:01:30,11,1,1e-12,Batch With STLN,2.2762e-11 
05-Oct-2017 14:01:30,11,1,1e-12,Batch Constrained,7.8614e-12 
05-Oct-2017 14:01:30,11,1,1e-12,Batch Constrained With STLN,1.1163e-11 
05-Oct-2017 14:01:47,10,1,1e-10,Separate,1.998e-07 
05-Oct-2017 14:01:47,10,1,1e-10,Batch,1.4196e-09 
05-Oct-2017 14:01:47,10,1,1e-10,Batch With STLN,1.6439e-09 
05-Oct-2017 14:01:47,10,1,1e-10,Batch Constrained,3.0466e-10 
05-Oct-2017 14:01:47,10,1,1e-10,Batch Constrained With STLN,6.6257e-10 
05-Oct-2017 14:02:12,10,1,1e-08,Separate,8.1509e-06 
05-Oct-2017 14:02:12,10,1,1e-08,Batch,1.4195e-07 
05-Oct-2017 14:02:12,10,1,1e-08,Batch With STLN,1.6439e-07 
05-Oct-2017 14:02:12,10,1,1e-08,Batch Constrained,3.0384e-08 
05-Oct-2017 14:02:12,10,1,1e-08,Batch Constrained With STLN,6.622e-08 
05-Oct-2017 14:02:26,10,1,1e-06,Separate,0.00080862 
05-Oct-2017 14:02:26,10,1,1e-06,Batch,1.4195e-05 
05-Oct-2017 14:02:26,10,1,1e-06,Batch With STLN,0.019305 
05-Oct-2017 14:02:26,10,1,1e-06,Batch Constrained,3.0383e-06 
05-Oct-2017 14:02:26,10,1,1e-06,Batch Constrained With STLN,5.3358 
05-Oct-2017 14:03:09,10,1,1e-06,Separate,0.00080862 
