DATE, EX_NUM, MEAN_METHOD, BOOL_ALPHA_THETA, EMIN, EMAX, LOW_RANK_APPROX_METHOD, LOW_RANK_ITE, APF_METHOD, APF_ITE, BOOL_LOG, SYLVESTER_MATRIX_VARIANT, GCD_METHODM, METHOD_NAME, DECONVOLUTION_METHOD HX, DECONVOLUTION_METHOD WX, DECONVOLUTION_PREPROC, FORWARD_ERROR, BACKWARD_ERROR, ERROR_FX, ERROR_HX, ERROR_WX 
20-Jan-2018 12:08:44,9,None,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,0,1.548681e-04,5.438123e-04,9.497538e-05,2.637600e-04,1.382738e-04
20-Jan-2018 12:08:48,9,None,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,1,1.670279e-04,5.546900e-04,9.497538e-05,2.637600e-04,1.391880e-04
20-Jan-2018 12:08:51,9,None,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch,Separate,0,1.548681e-04,5.438123e-04,9.497538e-05,2.637600e-04,1.382738e-04
20-Jan-2018 12:08:55,9,None,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch,Separate,1,9.120941e-05,3.823466e-04,9.497538e-05,4.208457e-04,9.411973e-05
20-Jan-2018 12:08:59,9,None,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,0,1.548681e-04,5.438123e-04,9.497538e-05,2.637600e-04,1.382738e-04
20-Jan-2018 12:09:02,9,None,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,1,1.036176e-04,3.835523e-04,9.497538e-05,4.208457e-04,9.156273e-05
20-Jan-2018 12:09:06,9,None,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Separate,0,3.777840e-05,3.945943e-04,9.497538e-05,2.227044e-04,1.086005e-04
20-Jan-2018 12:09:09,9,None,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Separate,1,5.781935e-05,2.988599e-04,9.497538e-05,3.711231e-04,8.199463e-05
20-Jan-2018 12:09:13,9,None,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,0,3.777840e-05,3.945943e-04,9.497538e-05,2.227044e-04,1.086005e-04
20-Jan-2018 12:09:17,9,None,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,1,6.602749e-05,3.020964e-04,9.497538e-05,3.711231e-04,7.625219e-05
20-Jan-2018 12:09:47,9,None,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Separate,Separate,0,3.638557e-05,8.504889e-05,3.448801e-05,3.425663e-04,2.594340e-05
20-Jan-2018 12:09:50,9,None,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Separate,Separate,1,3.638557e-05,8.504889e-05,3.448801e-05,3.425663e-04,2.594340e-05
20-Jan-2018 12:09:54,9,None,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,0,3.638557e-05,8.504889e-05,3.448801e-05,3.425663e-04,2.594340e-05
20-Jan-2018 12:09:58,9,None,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,1,6.007363e-05,9.621650e-05,3.448801e-05,3.425663e-04,2.552402e-05
20-Jan-2018 12:10:02,9,None,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch,Separate,0,3.638557e-05,8.504889e-05,3.448801e-05,3.425663e-04,2.594340e-05
20-Jan-2018 12:10:05,9,None,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch,Separate,1,2.608160e-05,8.029459e-05,3.448801e-05,5.251300e-04,2.524236e-05
20-Jan-2018 12:10:09,9,None,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,0,3.638557e-05,8.504889e-05,3.448801e-05,3.425663e-04,2.594340e-05
20-Jan-2018 12:10:12,9,None,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,1,5.862324e-05,9.685885e-05,3.448801e-05,5.251300e-04,2.512391e-05
20-Jan-2018 12:10:16,9,None,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Separate,0,2.702786e-05,6.352246e-05,3.448801e-05,4.229791e-04,2.563713e-05
20-Jan-2018 12:10:20,9,None,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Separate,1,4.982900e-05,7.211436e-05,3.448801e-05,4.298696e-04,1.333071e-05
20-Jan-2018 12:10:24,9,None,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,0,2.702786e-05,6.352246e-05,3.448801e-05,4.229791e-04,2.563713e-05
